[2026-06-14T20:31:13.522+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for ARES: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.544+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for ANET: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.565+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for AJG: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.587+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for AIZ: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.609+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for T: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.631+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for ATO: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.654+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for ADSK: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.675+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for ADP: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.695+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for AZO: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.717+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for AVB: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.739+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for AVY: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.762+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for AXON: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.783+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BKR: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.805+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BALL: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.827+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BAC: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.848+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BAX: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.869+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BDX: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.890+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BRK-B: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
[2026-06-14T20:31:13.911+0000] {minio_fetching_data_hourly.py:96} WARNING - Could not check timestamp for BBY: Tz-aware datetime.datetime cannot be converted to datetime64 unless utc=True, at position 238
